67.67.192.cfi,2003-12-31 01:03:46,2003-12-31 01:03:53,8,2
129.250.150.jdd,2003-12-31 00:21:03,2003-12-31 01:08:49,2867,6
202.56.233.fdh,2003-12-31 01:16:50,2003-12-31 01:16:50,1,1
210.5.18.ebi,2003-12-31 01:17:02,2003-12-31 01:17:02,1,1
68.69.174.ach,2003-12-31 01:18:05,2003-12-31 01:18:05,1,1
24.128.96.beh,2003-12-31 01:07:45,2003-12-31 01:27:59,1215,28
202.71.146.jdd,2003-12-31 01:27:58,2003-12-31 01:28:02,5,2
205.138.214.ech,2003-12-31 01:10:17,2003-12-31 01:28:04,1068,11
129.250.150.jdd,2003-12-31 04:01:53,2003-12-31 04:01:53,1,1
129.250.150.jdd,2003-12-31 07:26:53,2003-12-31 07:26:53,1,1
208.22.57.cci,2003-12-31 08:34:37,2003-12-31 08:34:37,1,1
152.163.253.fjc,2003-12-31 08:34:41,2003-12-31 08:34:41,1,1
157.91.32.eef,2003-12-31 08:34:50,2003-12-31 08:34:50,1,1
208.11.8.ggf,2003-12-31 08:34:54,2003-12-31 08:34:54,1,1
152.163.253.ecg,2003-12-31 08:34:58,2003-12-31 08:34:58,1,1
63.68.200.gjc,2003-12-31 08:34:42,2003-12-31 08:35:01,20,2
12.103.240.aaa,2003-12-31 08:35:08,2003-12-31 08:35:09,2,2
65.116.170.gjc,2003-12-31 08:35:08,2003-12-31 08:35:12,5,2
12.153.133.eag,2003-12-31 08:35:19,2003-12-31 08:35:19,1,1
170.12.204.icd,2003-12-31 08:35:25,2003-12-31 08:35:25,1,1
64.89.14.jfc,2003-12-31 08:34:37,2003-12-31 08:35:28,52,2
69.160.225.jij,2003-12-31 08:35:00,2003-12-31 08:35:29,30,2
12.96.65.fgd,2003-12-31 08:35:03,2003-12-31 08:35:33,31,2
68.161.240.fdi,2003-12-31 08:35:28,2003-12-31 08:35:35,8,2
216.215.143.fdh,2003-12-31 08:34:44,2003-12-31 08:35:40,57,5
64.12.96.jfd,2003-12-31 08:35:40,2003-12-31 08:35:40,1,1
63.68.115.jdd,2003-12-31 08:35:53,2003-12-31 08:35:55,3,2
170.201.180.bhj,2003-12-31 08:36:01,2003-12-31 08:36:01,1,1
209.23.201.ahd,2003-12-31 08:36:04,2003-12-31 08:36:04,1,1
64.12.96.fgi,2003-12-31 08:35:44,2003-12-31 08:36:04,21,2
67.84.220.gjc,2003-12-31 08:36:12,2003-12-31 08:36:12,1,1
63.165.90.gee,2003-12-31 08:36:15,2003-12-31 08:36:15,1,1
63.88.30.fib,2003-12-31 08:35:59,2003-12-31 08:36:24,26,3
67.86.17.ehg,2003-12-31 08:36:24,2003-12-31 08:36:24,1,1
216.191.164.bbi,2003-12-31 08:36:25,2003-12-31 08:36:28,4,2
81.205.39.igh,2003-12-31 08:36:28,2003-12-31 08:36:28,1,1
66.192.95.cjj,2003-12-31 08:36:23,2003-12-31 08:36:39,17,2
193.130.148.bdf,2003-12-31 08:36:42,2003-12-31 08:36:42,1,1
192.4.227.baj,2003-12-31 08:36:56,2003-12-31 08:37:00,5,2
61.1.200.cej,2003-12-31 08:37:13,2003-12-31 08:37:13,1,1
148.170.72.aah,2003-12-31 08:37:21,2003-12-31 08:37:21,1,1
159.53.206.aca,2003-12-31 08:37:24,2003-12-31 08:37:24,1,1
165.254.60.ahd,2003-12-31 08:37:30,2003-12-31 08:37:30,1,1
155.109.5.gai,2003-12-31 08:37:32,2003-12-31 08:37:43,12,2
68.70.165.dcg,2003-12-31 08:36:38,2003-12-31 08:37:44,67,4
67.31.35.gfj,2003-12-31 08:37:43,2003-12-31 08:37:48,6,2
68.211.3.cha,2003-12-31 08:37:32,2003-12-31 08:37:50,19,2
65.244.58.gha,2003-12-31 08:38:14,2003-12-31 08:38:14,1,1
216.195.193.gig,2003-12-31 08:35:43,2003-12-31 08:38:16,154,2
209.191.144.jcf,2003-12-31 08:35:02,2003-12-31 08:38:37,216,4
66.65.1.fdb,2003-12-31 08:38:49,2003-12-31 08:38:49,1,1
66.178.13.ggf,2003-12-31 08:38:54,2003-12-31 08:38:54,1,1
203.196.189.bgd,2003-12-31 08:38:57,2003-12-31 08:38:57,1,1
12.108.126.cfi,2003-12-31 08:38:59,2003-12-31 08:39:03,5,2
152.163.252.bbi,2003-12-31 08:39:04,2003-12-31 08:39:04,1,1
167.106.254.gjc,2003-12-31 08:39:04,2003-12-31 08:39:06,3,2
24.185.237.fed,2003-12-31 08:39:03,2003-12-31 08:39:06,4,2
167.206.132.ccg,2003-12-31 08:37:56,2003-12-31 08:39:09,74,15
12.4.29.bhj,2003-12-31 08:39:31,2003-12-31 08:39:31,1,1
66.228.145.ahf,2003-12-31 08:39:36,2003-12-31 08:39:36,1,1
198.74.20.hhg,2003-12-31 08:36:14,2003-12-31 08:39:42,209,10
151.205.165.aie,2003-12-31 08:39:21,2003-12-31 08:39:52,32,4
205.241.18.gai,2003-12-31 08:39:48,2003-12-31 08:39:57,10,1
12.202.150.bgg,2003-12-31 08:40:01,2003-12-31 08:40:01,1,1
148.170.58.bfb,2003-12-31 08:36:02,2003-12-31 08:40:18,257,8
12.3.49.efb,2003-12-31 08:36:08,2003-12-31 08:40:28,261,5
68.51.229.dif,2003-12-31 08:40:28,2003-12-31 08:40:28,1,1
208.48.245.bbi,2003-12-31 08:38:52,2003-12-31 08:40:31,100,4
